"Obama has called the GOP budget social Darwinism. Nice try, but they believe in social creationism.",0.0625,0.0,obama has called the gop budget social darwinism nice try but they believe in social creationism
"In his teen years, Obama has been known to use marijuana and cocaine.",0.0,0.0,in his teen years obama has been known to use marijuana and cocaine
"IPA Congratulates President Barack Obama for Leadership Regarding JOBS Act: WASHINGTON, Apr 05, 2012 (BUSINESS W... http://t.co/8le3DC8E",0.0,0.0,ipa congratulates president barack obama for leadership regarding jobs act washington apr 05 2012 business w httptco8le3dc8e
"RT @Professor_Why: #WhatsRomneyHiding - his connection to supporters of Critical Race Theory.... Oh wait, that was Obama, not Romney...",0.05263157894736842,0.0,rt professorwhy whatsromneyhiding  his connection to supporters of critical race theory oh wait that was obama not romney
RT @wardollarshome: Obama has approved more targeted assassinations than any modern US prez; READ & RT: http://t.co/bfC4gbBW,0.11764705882352941,0.0,rt wardollarshome obama has approved more targeted assassinations than any modern us prez read  rt httptcobfc4gbbw
Video shows federal officials joking about cost of lavish conference http://t.co/2i4SmoPM #obama #crime #p2 #news #tcot #teaparty,0.058823529411764705,0.058823529411764705,video shows federal officials joking about cost of lavish conference httptco2i4smopm obama crime p2 news tcot teaparty
"one Chicago kid who says ""Obama is my man"" tells Jesse Watters that the gun violence in Chicago is like ""World War 17""",0.0,0.043478260869565216,one chicago kid who says obama is my man tells jesse watters that the gun violence in chicago is like world war 17
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
A valid explanation for why Obama won't let women on the golf course.   #WhatsRomneyHiding,0.1875,0.0,a valid explanation for why obama wont let women on the golf course   whatsromneyhiding
President Obama &lt; Lindsay Lohan RUMORS beginning cross shape lights on ST &lt; 1987 Analyst64 DC bicycle courier &lt; Video changes to scramble.,0.0,0.08695652173913043,president obama lt lindsay lohan rumors beginning cross shape lights on st lt 1987 analyst64 dc bicycle courier lt video changes to scramble
Obama's Gender Advantage Extends to the States - 2012 Decoded: New detail on recent swing state polling further ... http://t.co/8iSanDGS,0.15,0.0,obamas gender advantage extends to the states  2012 decoded new detail on recent swing state polling further  httptco8isandgs
#WhatsRomneyHiding? Obama's dignity and sense of humor? #p2 #tcot,0.2222222222222222,0.0,whatsromneyhiding obamas dignity and sense of humor p2 tcot
Here's How Obama and the Democrats Will Win in 2012: Let's start by going back to the assorted polls questioning... http://t.co/zpg0TVm3,0.047619047619047616,0.0,heres how obama and the democrats will win in 2012 lets start by going back to the assorted polls questioning httptcozpg0tvm3
RealClearPolitics - Obama's Organizational Advantage on Full ...: As a small but electorally significant state t... http://t.co/3Ax22aBB,0.23529411764705882,0.0,realclearpolitics  obamas organizational advantage on full  as a small but electorally significant state t httptco3ax22abb
RT @GregWHoward: Obama inherited (if you want to use his lame wording) $10.6 trillion in debt and turned it into $15.2 trillion. #tcot #p2 #ocra #teaparty,0.0,0.038461538461538464,rt gregwhoward obama inherited if you want to use his lame wording 106 trillion in debt and turned it into 152 trillion tcot p2 ocra teaparty
"RT @ohgirlphrase: American kid ""You're from the UK? Ohhh cool, So do you have tea with the Queen?"". British kid: ""Do you like, go to Mcdonalds with Obama?",0.0,0.0,rt ohgirlphrase american kid youre from the uk ohhh cool so do you have tea with the queen british kid do you like go to mcdonalds with obama
"of course..I blame HAARP, sinners, aliens, Bush and Obama for all this.  :P....&gt;&gt; http://t.co/7eq8nebt",0.06666666666666667,0.06666666666666667,of coursei blame haarp sinners aliens bush and obama for all this  pgtgt httptco7eq8nebt
Pravda Endorses and Supports Obama   http://t.co/G68JEmkz,0.25,0.0,pravda endorses and supports obama   httptcog68jemkz
